segment,vehown,income,pTAZID,aTAZID,p_DISTLRG,a_DISTLRG,trip_weight_12,trip_weight_23
0veh_hi,0,hi,377.0,426.0,5.0,5.0,187.7902854,0.0
0veh_hi,0,hi,440.0,437.0,5.0,5.0,214.6647822,0.0
0veh_hi,0,hi,883.0,1109.0,9.0,12.0,0.0,326.9112336
0veh_hi,0,hi,884.0,836.0,9.0,9.0,0.0,64.44814
0veh_hi,0,hi,884.0,1536.0,9.0,14.0,0.0,193.34441999999999
0veh_hi,0,hi,884.0,1644.0,9.0,14.0,0.0,64.44814
0veh_hi,0,hi,965.0,1173.0,12.0,12.0,0.0,137.113424
0veh_hi,0,hi,990.0,2145.0,14.0,17.0,0.0,12.431942
0veh_hi,0,hi,990.0,2673.0,14.0,20.0,0.0,0.0
0veh_hi,0,hi,990.0,2926.0,14.0,21.0,0.0,12.431942
0veh_hi,0,hi,990.0,3478.0,14.0,22.0,0.0,6.215971
0veh_hi,0,hi,1004.0,1007.0,14.0,14.0,0.0,494.8739392
0veh_hi,0,hi,1016.0,978.0,12.0,11.0,0.0,46.72048016
0veh_hi,0,hi,1032.0,995.0,13.0,14.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,848.0,13.0,9.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,995.0,13.0,14.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,1027.0,13.0,13.0,0.0,22.09602866
0veh_hi,0,hi,1034.0,1036.0,13.0,13.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,1037.0,13.0,13.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,1129.0,13.0,13.0,0.0,11.04801433
0veh_hi,0,hi,1034.0,1379.0,13.0,12.0,0.0,33.14404299
0veh_hi,0,hi,1034.0,1538.0,13.0,14.0,0.0,0.0
0veh_hi,0,hi,1035.0,965.0,13.0,12.0,0.0,0.0
0veh_hi,0,hi,1035.0,1035.0,13.0,13.0,0.0,11.04801433
0veh_hi,0,hi,1035.0,1538.0,13.0,14.0,0.0,0.0
0veh_hi,0,hi,1036.0,848.0,13.0,9.0,0.0,0.0
0veh_hi,0,hi,1036.0,965.0,13.0,12.0,0.0,0.0
0veh_hi,0,hi,1037.0,1231.0,13.0,14.0,0.0,49.062256
0veh_hi,0,hi,1038.0,1257.0,13.0,14.0,0.0,43.14649808
0veh_hi,0,hi,1046.0,1007.0,14.0,14.0,0.0,43.14649808
0veh_hi,0,hi,1050.0,984.0,14.0,12.0,166.9394378,0.0
0veh_hi,0,hi,1085.0,1258.0,13.0,14.0,0.0,8.527972667
0veh_hi,0,hi,1085.0,1645.0,13.0,14.0,0.0,8.527972667
0veh_hi,0,hi,1086.0,984.0,13.0,12.0,0.0,59.97304266
0veh_hi,0,hi,1086.0,1041.0,13.0,13.0,0.0,59.97304266
0veh_hi,0,hi,1090.0,965.0,13.0,12.0,170.2170356,0.0
0veh_hi,0,hi,1090.0,1075.0,13.0,13.0,170.2170356,0.0
0veh_hi,0,hi,1092.0,1051.0,14.0,14.0,0.0,44.10535664
0veh_hi,0,hi,1092.0,1159.0,14.0,14.0,0.0,70.9768256
0veh_hi,0,hi,1092.0,1282.0,14.0,14.0,0.0,70.9768256
0veh_hi,0,hi,1092.0,1395.0,14.0,12.0,0.0,70.9768256
0veh_hi,0,hi,1094.0,1051.0,14.0,14.0,0.0,14.076060000000002
0veh_hi,0,hi,1098.0,1118.0,14.0,13.0,0.0,21.61059067
0veh_hi,0,hi,1098.0,1140.0,14.0,13.0,0.0,43.22118134
0veh_hi,0,hi,1102.0,1051.0,14.0,14.0,0.0,120.37473335
0veh_hi,0,hi,1102.0,1128.0,14.0,13.0,0.0,48.14989334
0veh_hi,0,hi,1102.0,1142.0,14.0,13.0,0.0,0.0
0veh_hi,0,hi,1105.0,947.0,12.0,12.0,0.0,48.030708
0veh_hi,0,hi,1105.0,1154.0,12.0,14.0,0.0,54.982521
0veh_hi,0,hi,1150.0,1082.0,13.0,13.0,0.0,333.5778897
0veh_hi,0,hi,1155.0,1330.0,14.0,12.0,0.0,49.03595696
0veh_hi,0,hi,1160.0,1051.0,14.0,14.0,191.5935339,0.0
0veh_hi,0,hi,1160.0,1440.0,14.0,12.0,383.1870678,0.0
0veh_hi,0,hi,1256.0,1227.0,14.0,14.0,0.0,75.97762668
0veh_hi,0,hi,1256.0,1256.0,14.0,14.0,0.0,18.99440667
0veh_hi,0,hi,1260.0,1160.0,14.0,14.0,0.0,283.1089064
0veh_hi,0,hi,1260.0,1232.0,14.0,14.0,0.0,141.5544532
0veh_hi,0,hi,1263.0,1006.0,14.0,14.0,0.0,0.0
0veh_hi,0,hi,1263.0,1051.0,14.0,14.0,0.0,145.441374
0veh_hi,0,hi,1446.0,1481.0,14.0,14.0,0.0,0.0
0veh_hi,0,hi,1458.0,1481.0,14.0,14.0,0.0,32.674636002
0veh_hi,0,hi,1582.0,1483.0,12.0,14.0,0.0,186.5353428
0veh_hi,0,hi,1582.0,1593.0,12.0,12.0,0.0,186.5353428
0veh_hi,0,hi,1582.0,1897.0,12.0,17.0,0.0,45.3759824
0veh_hi,0,hi,1744.0,1764.0,16.0,16.0,0.0,197.5363576
0veh_hi,0,hi,1895.0,1837.0,17.0,17.0,0.0,166.6180908
0veh_hi,0,hi,1977.0,1216.0,16.0,12.0,0.0,11.91127667
0veh_hi,0,hi,1977.0,1246.0,16.0,12.0,0.0,35.73383001
0veh_hi,0,hi,1996.0,1960.0,16.0,16.0,0.0,945.865752
0veh_hi,0,hi,2877.0,2980.0,21.0,21.0,0.0,110.4532928
0veh_hi,0,hi,2969.0,2646.0,21.0,20.0,0.0,24.321762
0veh_hi,0,hi,2971.0,2962.0,21.0,21.0,0.0,463.42952
0veh_hi,0,hi,2987.0,2962.0,21.0,21.0,0.0,87.38802544
0veh_hi,0,hi,2998.0,2997.0,21.0,21.0,0.0,89.17413488
0veh_hi,0,hi,3001.0,2998.0,21.0,21.0,0.0,41.41297
0veh_hi,0,hi,3001.0,2999.0,21.0,21.0,0.0,0.0
