home_DISTLRG,work_DISTLRG,total_flow,est_0_veh_flow
14,14,50907,1137
12,12,42564,696
16,16,36858,688
14,12,25077,609
21,21,35415,603
16,12,28639,502
14,13,13646,431
16,14,23233,377
12,14,26597,324
5,5,12185,323
20,20,38952,319
4,4,22317,319
21,20,16957,290
4,5,17833,274
8,8,27190,248
11,12,11552,248
17,14,20522,228
5,4,8579,224
14,16,12387,223
17,16,16804,219
13,14,2048,219
22,22,20700,211
17,12,15789,211
16,17,13403,205
15,16,12310,184
17,17,17733,177
13,13,1469,172
22,21,16565,168
14,17,10445,167
13,12,1421,157
12,16,15667,155
16,13,6505,142
15,12,10780,137
12,13,7354,134
4,8,10762,132
16,20,8492,115
-1,-1,9325,105
11,14,5521,104
5,8,5552,102
20,21,17670,101
17,13,5587,86
11,16,4002,86
15,14,7577,82
16,15,4754,79
8,5,10097,79
9,9,10256,75
8,12,9940,72
20,16,12707,68
22,20,8243,66
12,11,4937,64
25,21,7765,63
13,17,666,62
15,15,4231,61
21,22,5540,61
14,9,3366,60
11,11,2624,56
8,4,8156,55
9,12,8784,54
13,16,579,53
12,9,4025,52
21,16,4571,51
15,17,4335,51
4,12,5212,50
14,-1,6612,49
5,12,2814,49
17,20,5895,47
15,20,3722,44
8,9,7139,43
14,20,4036,43
16,11,2992,43
12,17,7397,41
21,12,3870,40
11,13,1495,40
20,12,8681,39
21,25,3574,39
14,11,1998,37
9,14,8597,36
25,20,5784,35
15,13,2207,33
25,22,3229,32
8,14,8010,32
4,14,4017,31
16,21,3937,31
4,9,2613,30
20,14,8455,29
1,-1,2274,28
11,17,1675,28
9,13,3975,27
5,14,2224,27
14,18,1571,27
16,9,2575,26
1,1,1633,26
8,13,3815,25
5,9,1525,24
13,9,220,24
5,13,1133,23
13,-1,365,23
17,18,1588,23
21,14,3820,22
4,-1,4990,21
22,12,4064,21
21,13,1550,21
20,13,3350,20
11,9,959,19
12,15,2254,19
20,17,7023,18
21,17,2793,18
-1,1,1355,17
5,-1,2736,17
25,25,2064,16
7,8,3174,16
4,13,1674,15
22,16,3722,15
8,10,2011,15
13,20,170,14
19,20,3958,14
22,25,2176,13
-1,4,2100,13
15,21,1588,13
11,15,873,13
17,15,1511,12
11,20,878,12
1,4,1247,12
17,11,1258,12
16,-1,4692,12
20,25,2995,12
15,11,1326,11
14,15,1222,11
13,11,120,11
14,8,1608,11
22,14,3679,11
23,22,952,11
20,22,3316,10
8,16,3648,10
4,3,674,9
10,8,1775,9
12,-1,4512,9
14,21,2289,9
1,5,834,9
25,16,1774,8
8,7,1641,8
-1,5,1701,8
21,-1,4029,8
17,9,1632,8
4,16,1943,8
22,-1,4050,7
17,-1,3691,7
22,13,1195,7
14,7,385,7
9,10,1024,7
25,12,1542,7
15,9,1017,7
18,18,560,6
-1,12,1265,6
23,21,796,6
17,21,2667,6
20,15,1591,6
4,1,699,6
12,20,3522,6
1,12,545,5
16,18,607,5
19,16,2565,5
11,8,343,5
9,8,3681,5
11,-1,1070,5
5,6,281,5
7,12,1575,5
21,9,826,4
22,17,2108,4
19,12,1753,4
16,22,938,4
18,14,2027,4
20,-1,5460,4
1,8,601,4
4,11,532,4
4,10,500,4
18,16,817,4
10,14,1661,4
9,16,2353,4
10,10,707,4
10,12,1605,4
10,13,803,4
8,17,2443,4
11,21,514,4
14,4,785,4
5,16,1059,4
13,7,34,4
13,21,111,4
8,11,787,4
14,5,997,4
13,15,57,4
13,18,42,4
7,9,1332,4
7,7,678,4
5,20,672,3
9,11,729,3
19,19,968,3
18,12,958,3
23,23,199,3
2,1,492,3
10,5,879,3
14,10,252,3
10,9,1758,3
5,10,291,3
5,3,201,3
25,13,566,3
7,13,695,3
13,5,62,3
24,20,688,2
4,6,268,2
4,7,471,2
17,5,709,2
16,8,1446,2
16,10,154,2
18,17,1093,2
17,8,984,2
16,25,645,2
18,13,487,2
19,13,556,2
20,9,1240,2
23,20,958,2
21,15,549,2
21,11,369,2
2,-1,950,2
20,11,795,2
1,2,147,2
7,10,338,2
7,14,1312,2
6,5,607,2
5,11,269,2
5,7,294,2
13,8,97,2
12,18,479,2
9,7,569,2
11,5,237,2
11,4,188,2
9,17,1652,2
-1,13,384,2
-1,8,1123,2
25,14,1470,2
-1,2,233,2
23,16,534,1
9,20,1150,1
24,24,183,1
23,13,124,1
23,12,422,1
24,16,398,1
24,14,373,1
24,13,145,1
24,12,329,1
1,14,441,1
1,13,154,1
22,15,520,1
22,11,456,1
22,9,688,1
2,4,675,1
2,2,207,1
21,5,597,1
19,21,1460,1
10,7,225,1
10,4,557,1
20,19,867,1
2,5,553,1
19,15,457,1
19,14,1289,1
17,25,491,1
17,4,575,1
16,24,61,1
4,21,1077,1
4,17,1271,1
4,2,208,1
16,5,942,1
16,4,772,1
15,18,186,1
5,1,303,1
15,8,492,1
15,5,344,1
15,-1,1720,1
14,22,524,1
6,6,84,1
6,4,368,1
7,5,1012,1
7,4,782,1
13,10,17,1
8,3,221,1
11,22,143,1
11,10,36,1
11,7,45,1
12,7,187,1
-1,16,627,1
-1,14,881,1
-1,9,390,1
1,3,36,1
25,17,1074,1
-1,7,48,0
24,17,310,0
-1,21,402,0
24,25,75,0
-1,22,138,0
-1,23,5,0
-1,25,77,0
-1,26,1,0
1,6,15,0
1,7,21,0
1,9,163,0
25,8,274,0
24,18,22,0
24,19,10,0
24,8,19,0
24,7,3,0
24,5,18,0
24,4,26,0
24,3,1,0
24,-1,158,0
23,26,2,0
23,25,119,0
25,7,20,0
25,6,5,0
25,5,209,0
25,4,153,0
25,3,3,0
25,2,5,0
25,1,9,0
25,-1,1428,0
7,24,1,0
7,23,1,0
7,22,57,0
7,21,163,0
8,19,56,0
8,18,102,0
8,15,437,0
10,17,385,0
11,19,31,0
11,18,80,0
12,10,167,0
12,8,1511,0
12,6,9,0
12,5,933,0
12,4,824,0
12,3,37,0
6,8,316,0
7,16,528,0
7,15,57,0
7,11,138,0
7,6,26,0
12,2,10,0
12,1,39,0
11,26,3,0
11,25,81,0
11,24,10,0
7,1,13,0
8,6,220,0
8,2,65,0
8,1,195,0
8,-1,4334,0
7,25,40,0
14,1,53,0
13,26,1,0
13,25,19,0
13,24,4,0
13,22,32,0
7,20,305,0
7,19,4,0
7,18,10,0
11,23,13,0
12,26,7,0
12,25,367,0
12,24,47,0
12,23,27,0
12,22,567,0
12,21,2072,0
12,19,72,0
6,16,53,0
6,15,13,0
6,14,169,0
6,13,76,0
6,12,144,0
6,11,18,0
6,10,11,0
6,9,109,0
7,3,29,0
7,2,7,0
13,4,33,0
13,3,3,0
13,1,2,0
14,6,20,0
14,3,24,0
14,2,7,0
6,3,2,0
6,2,3,0
6,1,13,0
6,-1,164,0
5,26,8,0
5,25,125,0
5,24,5,0
5,23,5,0
5,19,14,0
7,-1,578,0
6,25,8,0
6,22,13,0
6,21,21,0
6,20,35,0
6,18,4,0
6,17,38,0
9,1,45,0
15,7,46,0
15,6,8,0
15,4,257,0
15,3,11,0
15,2,4,0
15,1,14,0
14,26,9,0
5,18,25,0
5,17,715,0
5,15,169,0
13,19,3,0
14,24,40,0
14,23,12,0
14,19,105,0
6,7,26,0
15,10,79,0
11,1,9,0
10,25,43,0
10,24,4,0
10,23,2,0
10,22,52,0
10,21,192,0
10,20,293,0
10,19,8,0
10,18,19,0
7,17,349,0
8,22,429,0
8,21,1297,0
8,20,1945,0
9,3,25,0
9,2,2,0
14,25,419,0
16,2,10,0
16,1,41,0
15,26,11,0
15,25,279,0
15,24,20,0
15,23,6,0
15,22,280,0
15,19,108,0
3,22,11,0
5,2,90,0
4,26,10,0
4,25,217,0
4,24,10,0
5,22,177,0
5,21,617,0
3,20,25,0
3,19,1,0
3,18,1,0
3,17,31,0
3,16,56,0
4,23,7,0
4,22,256,0
4,20,1151,0
4,19,22,0
4,18,48,0
4,15,332,0
3,6,12,0
3,25,7,0
16,7,178,0
16,6,23,0
16,3,32,0
16,19,229,0
17,23,23,0
17,22,518,0
17,19,99,0
17,10,105,0
18,11,76,0
18,10,12,0
17,7,124,0
17,6,13,0
17,3,11,0
17,2,7,0
17,1,32,0
16,26,27,0
16,23,22,0
2,15,30,0
3,21,29,0
18,-1,343,0
17,26,9,0
17,24,57,0
19,3,2,0
19,2,3,0
19,1,5,0
19,-1,800,0
3,15,7,0
3,14,95,0
3,13,39,0
3,12,102,0
3,11,11,0
3,10,16,0
3,9,56,0
3,8,206,0
3,7,7,0
18,19,8,0
18,15,69,0
19,18,38,0
19,17,1019,0
19,11,164,0
19,10,9,0
19,9,214,0
19,8,132,0
18,9,114,0
18,8,85,0
18,7,16,0
18,5,62,0
18,4,33,0
18,3,4,0
18,2,3,0
18,1,2,0
20,5,843,0
20,4,582,0
20,3,8,0
20,2,10,0
20,1,38,0
19,26,4,0
19,25,256,0
19,24,19,0
19,23,15,0
19,22,382,0
18,26,1,0
18,25,36,0
18,24,9,0
18,22,31,0
18,21,142,0
18,20,321,0
3,-1,137,0
2,25,25,0
2,23,2,0
2,22,31,0
2,21,131,0
2,20,82,0
2,19,4,0
2,18,5,0
2,17,88,0
2,16,194,0
19,7,11,0
19,5,85,0
19,4,69,0
20,8,1039,0
20,7,107,0
20,6,13,0
1,10,21,0
2,14,213,0
2,13,88,0
2,12,294,0
2,11,28,0
2,10,11,0
2,9,79,0
2,8,286,0
2,7,23,0
2,6,6,0
1,26,2,0
3,5,427,0
3,4,640,0
3,3,132,0
3,2,2,0
3,1,29,0
20,23,87,0
9,-1,2017,0
8,26,25,0
8,25,272,0
8,24,18,0
10,16,463,0
10,15,70,0
10,11,130,0
10,6,30,0
10,3,13,0
10,2,7,0
10,1,13,0
-1,6,36,0
8,23,10,0
10,-1,549,0
20,18,327,0
1,18,4,0
1,17,163,0
2,3,26,0
20,10,102,0
21,10,60,0
21,8,889,0
21,7,74,0
21,6,9,0
21,4,441,0
21,3,7,0
21,2,16,0
21,1,47,0
20,26,28,0
22,3,2,0
22,2,7,0
20,24,189,0
22,5,480,0
22,4,347,0
22,1,20,0
21,26,13,0
21,24,62,0
21,23,75,0
21,19,221,0
21,18,132,0
-1,20,388,0
1,25,37,0
1,24,1,0
1,23,3,0
1,22,81,0
1,21,212,0
1,20,206,0
1,19,6,0
22,26,14,0
22,24,11,0
22,23,162,0
23,24,2,0
23,19,51,0
23,18,6,0
23,17,242,0
1,16,304,0
1,15,51,0
1,11,62,0
22,19,140,0
22,18,114,0
22,10,52,0
22,8,615,0
22,7,72,0
22,6,10,0
23,11,57,0
23,10,6,0
23,9,68,0
24,15,31,0
24,11,21,0
24,10,4,0
24,9,31,0
23,8,52,0
23,7,6,0
23,6,1,0
23,5,32,0
23,4,16,0
23,3,1,0
23,2,1,0
23,1,3,0
23,-1,323,0
23,15,64,0
23,14,392,0
9,26,1,0
9,25,149,0
9,24,20,0
9,23,7,0
9,22,208,0
9,21,745,0
9,19,24,0
9,18,105,0
9,15,244,0
9,6,27,0
9,5,1380,0
9,4,920,0
25,23,12,0
24,22,65,0
24,21,331,0
25,15,188,0
25,11,154,0
26,22,6,0
26,21,12,0
26,20,10,0
26,17,12,0
26,16,15,0
26,14,13,0
26,13,4,0
26,12,15,0
26,11,2,0
26,9,2,0
26,-1,11,0
25,26,4,0
26,25,3,0
11,6,1,0
11,3,8,0
11,2,3,0
25,10,16,0
25,9,312,0
25,24,39,0
-1,19,5,0
-1,18,10,0
-1,17,322,0
-1,15,122,0
-1,11,120,0
-1,10,45,0
25,19,70,0
25,18,61,0
-1,3,66,0
26,24,1,0
